Fx,Fy,Fz,Mx,My,Mz
-0.07122641801834106,-9.94454288482666,-3.0918068885803223,-0.12245376408100128,-0.0631231814622879,0.05757211148738861
-0.12228108197450638,-9.903096199035645,-3.1554975509643555,-0.12121568620204926,-0.06195264309644699,0.057245757430791855
-0.08462692052125931,-9.941075325012207,-3.1342523097991943,-0.12200228869915009,-0.06289941072463989,0.05741673335433006
-0.09409219026565552,-9.958331108093262,-3.132901668548584,-0.1228778213262558,-0.06240922957658768,0.05758067965507507
-0.10741925984621048,-9.983524322509766,-3.132209300994873,-0.12327738106250763,-0.062195390462875366,0.05741557106375694
-0.09384948015213013,-9.9303560256958,-3.1129679679870605,-0.12203623354434967,-0.06241288781166077,0.05757283419370651
-0.044528014957904816,-9.943076133728027,-3.092196464538574,-0.12242112308740616,-0.06355159729719162,0.056930061429739
-0.05702520161867142,-9.968302726745605,-3.091613531112671,-0.12282176315784454,-0.06334871053695679,0.057254377752542496
-0.03938079625368118,-9.969449043273926,-3.0919299125671387,-0.12283732742071152,-0.06431999802589417,0.05741528049111366
-0.06648999452590942,-9.985557556152344,-3.0902626514434814,-0.12369729578495026,-0.06285852938890457,0.0574183389544487
-0.09875518083572388,-9.945976257324219,-3.091308116912842,-0.12248532474040985,-0.06268381327390671,0.057724736630916595
-0.1656763106584549,-9.981029510498047,-3.110767364501953,-0.12285135686397552,-0.06057456508278847,0.05723433941602707
-0.10554595291614532,-9.975873947143555,-3.1546366214752197,-0.12235340476036072,-0.0622117780148983,0.05742403864860535
-0.137481689453125,-9.93593978881836,-3.1323776245117188,-0.122539222240448,-0.06172241270542145,0.05707218125462532
-0.14499998092651367,-9.97420597076416,-3.110316753387451,-0.12334181368350983,-0.06125853955745697,0.057234879583120346
-0.12996888160705566,-9.997998237609863,-3.1102325916290283,-0.12371089309453964,-0.06149502098560333,0.05740657076239586
-0.09297533333301544,-9.97930908203125,-3.112082004547119,-0.12280379980802536,-0.06242458149790764,0.05708999186754227
-0.09230900555849075,-9.935652732849121,-3.133193254470825,-0.122523233294487,-0.06313307583332062,0.0570804588496685
-0.09899741411209106,-9.97395133972168,-3.1112418174743652,-0.12332689762115479,-0.06268015503883362,0.057732582092285156
-0.061930425465106964,-9.983922958374023,-3.069953203201294,-0.12327083945274353,-0.06361963599920273,0.05740627273917198
-0.08625751733779907,-9.920750617980957,-3.091891050338745,-0.12208467721939087,-0.06288669258356094,0.0574004128575325
-0.11493206769227982,-9.921465873718262,-3.1543543338775635,-0.12210571020841599,-0.06242278218269348,0.057081181555986404
-0.1372389793395996,-9.907964706420898,-3.1124439239501953,-0.12169764190912247,-0.06172607094049454,0.05706432834267616
-0.14531564712524414,-9.973519325256348,-3.1733882427215576,-0.12333235889673233,-0.06124495714902878,0.05725244805216789
-0.09795399010181427,-9.966269493103027,-3.1335597038269043,-0.12240184843540192,-0.06268557161092758,0.05725162476301193
-0.10871177911758423,-9.84992790222168,-3.136256456375122,-0.1199745461344719,-0.06217014044523239,0.057403020560741425
-0.07154256105422974,-9.943857192993164,-3.1548783779144287,-0.12244430184364319,-0.06310959905385971,0.057589687407016754
-0.1222076490521431,-9.931756973266602,-3.1123597621917725,-0.12206672132015228,-0.0619625598192215,0.05723602697253227
-0.1372389793395996,-9.907964706420898,-3.1124439239501953,-0.12169764190912247,-0.06172607094049454,0.05706432834267616
-0.1531791239976883,-9.955803871154785,-3.1113505363464355,-0.12245070934295654,-0.0607774443924427,0.05691002309322357
-0.03371912240982056,-9.925200462341309,-3.1568374633789062,-0.12153829634189606,-0.0640501081943512,0.05776253342628479
-0.021148502826690674,-9.928634643554688,-3.1142826080322266,-0.1219886839389801,-0.06426291912794113,0.05742849409580231
-0.0665634274482727,-9.956896781921387,-3.1334006786346436,-0.12284626066684723,-0.06284859776496887,0.057428061962127686
-0.18561311066150665,-9.972858428955078,-3.0891916751861572,-0.1229313537478447,-0.06060899421572685,0.05721454322338104
-0.10741925984621048,-9.983524322509766,-3.132209300994873,-0.12327738106250763,-0.062195390462875366,0.05741557106375694
-0.12074632942676544,-10.008718490600586,-3.131516695022583,-0.12367694079875946,-0.061981555074453354,0.05725046247243881
-0.0570986345410347,-9.939640998840332,-3.134751319885254,-0.12197072803974152,-0.06333878636360168,0.05726410821080208
-0.13577742874622345,-9.984926223754883,-3.131600856781006,-0.12330786138772964,-0.061745066195726395,0.0570787712931633
-0.10824866592884064,-9.983491897583008,-3.1320998668670654,-0.12327630072832108,-0.06218443438410759,0.056926146149635315
-0.12718677520751953,-9.918716430664062,-3.1338376998901367,-0.12166476994752884,-0.062223561108112335,0.05739765986800194
-0.09965801984071732,-9.917283058166504,-3.134336471557617,-0.12163320928812027,-0.06266292929649353,0.05724503472447395
-0.10717654973268509,-9.955549240112305,-3.1122756004333496,-0.1224358007311821,-0.062199048697948456,0.05740772560238838
-0.06437493115663528,-9.949933052062988,-3.092756748199463,-0.12193173170089722,-0.0628785640001297,0.057418953627347946
-0.028667032718658447,-9.966900825500488,-3.092221736907959,-0.12279127538204193,-0.06379903852939606,0.057591184973716736
