Wrench,C,L_s0,L_s1,L_s2,L_s3,L_s4,L_s5,L_s6,L_s7,Q_s0s0,Q_s0s1,Q_s0s2,Q_s0s3,Q_s0s4,Q_s0s5,Q_s0s6,Q_s0s7,Q_s1s1,Q_s1s2,Q_s1s3,Q_s1s4,Q_s1s5,Q_s1s6,Q_s1s7,Q_s2s2,Q_s2s3,Q_s2s4,Q_s2s5,Q_s2s6,Q_s2s7,Q_s3s3,Q_s3s4,Q_s3s5,Q_s3s6,Q_s3s7,Q_s4s4,Q_s4s5,Q_s4s6,Q_s4s7,Q_s5s5,Q_s5s6,Q_s5s7,Q_s6s6,Q_s6s7,Q_s7s7
Fx,-7.572887415076886,-0.2605613261996083,0.1523808210903748,0.35665184404474976,-0.3005078352578846,-0.6202213897550954,0.32888895566901616,0.2544681066201742,0.14421709728296433,0.0003815986075389515,-5.942447239224486e-05,0.00011273606824574503,-0.0001989559872963233,-0.0011477358648679062,0.0002222275876796372,0.00087931213819639,0.00013857003857445653,-0.00036835507988638506,0.00012768817178838114,0.00027609961175129803,0.0023997183097265095,-0.00124255647640559,-0.0008163477845594877,-0.00016218072465950945,-0.0006261476992604273,0.000794215070682446,0.00038179249988088196,-0.00024356416069711467,-0.000874666963194371,7.900951124201235e-05,-0.00023041811758907251,-0.00037438598415677547,0.00039929988707752666,0.000272518397935139,5.99052218247497e-06,-0.0011697258286863146,0.00192500496910324,0.0004262966553051758,0.00048583632859199656,-0.0005088547918437979,-0.0003510147927546159,-0.0008649943011505551,8.367522089635226e-06,-0.00046509306436263423,0.0002953159928574858
Fy,33.54561654777371,-0.3602096967558163,-0.001803415690546544,0.298593761646871,-0.026199495696582007,-0.031791955448067115,0.22254916811449488,0.030735605409482347,-0.3207211622163016,-0.0001882073771326615,0.00037156830524975605,0.0003098584030737829,-4.924476933967223e-05,0.0004294213566326532,-4.279308086265403e-06,0.00023689228704727548,-0.00010040017255337877,-9.794632028103691e-05,4.460653013569557e-06,-9.81084282351335e-05,-0.0004573057958077552,0.0002264191272256663,0.00024017642849395528,7.757313278765512e-05,-0.0003912210754421178,3.5571380008152104e-05,-0.00021375389961821452,-0.00029085451050488815,-0.00047756400846601574,0.0006908893986520178,0.00020595598462639037,0.0004321932266825185,-0.0002695086918482408,6.71910748117326e-06,-0.0004065822748961603,0.00012970326455398777,2.9744515775612014e-05,0.00036873164244947233,-0.0008404680761906409,-0.00038759088043444377,-0.0006017018290243047,0.0010339880332480523,-0.00035269498682405023,0.0008947282302577483,-0.0002588599588330035
Fz,-115.25160868170562,-0.38579112820411815,0.29227822670906983,0.4899881200222086,-0.18782758051335638,-0.4713131196107862,0.4841472445892043,0.16865307675901844,0.16991992771646225,5.009013193241421e-05,-0.0002479506075767849,0.0006194682083169423,0.0003435812575472654,-0.00048196624317668746,0.0007437307922456644,0.0004657572116113263,-0.0002825630331289829,0.00021059153596844336,-0.00041284102745045743,-0.0006769318051341944,0.0011156102394485196,-0.0012049588123010972,-0.0005237139671262981,0.0006018440577054342,-0.00044534529569244214,0.0006058815859841842,0.0001763044130122463,-0.0004331539620764935,-0.0005108831215718698,-0.000473683495064027,0.00010231964285150077,0.0002825755082449681,-0.0001699503627507857,0.000398395636028779,-0.0004239139088921504,-0.0007205379238881675,0.001680411256311359,0.0002928797587217532,-8.596758856701479e-05,-0.000986066359494271,-6.23178359695882e-05,-0.00022398401519775643,3.55951644076091e-06,-0.000571215603136428,0.0006213857822740884
Mx,0.23242395782504635,0.007243147257307504,0.002399998048674464,-0.01291680541532929,0.004191810353147452,-0.0015143022116318836,-0.010575154306440184,-0.0066592482078879495,0.018330664835548197,2.2139897934875395e-06,-4.760808638812379e-06,-1.1503715916312813e-05,2.1700614898908963e-06,-1.596221840062536e-05,4.4856095242651375e-06,-2.869798298366718e-06,6.488770287029517e-06,-1.6539194150954343e-06,1.0988546385909474e-05,-2.9059848966026682e-06,3.137990252671023e-05,-1.0338966717283415e-05,-1.041545566586594e-05,-1.4985315540369768e-05,8.941738967651572e-06,-1.997977567469193e-06,3.372434935405209e-06,1.0548871623381066e-05,1.5580417043667612e-05,-1.8859857651915335e-05,-7.151940853950003e-06,-1.439985148468145e-05,7.248437793275065e-06,3.1233735772520865e-06,2.1273656357586337e-06,-1.3820421832463879e-05,9.845774580832232e-06,-8.305753315053162e-06,2.6828416376813627e-05,7.4182008269337935e-06,2.5612108784835416e-05,-3.724246446347501e-05,1.2768452613871559e-05,-3.1520080941866805e-05,1.3166390934483552e-05
My,0.847183554342211,-0.0008535181313564824,-0.0025135442477798083,-0.0019147239627584382,0.0039045327902912474,0.0061022187815896484,-0.0030135255247283428,-0.002555196875061775,-0.001716077637670903,1.393745556457659e-06,1.0597260173310105e-05,-1.682835099415977e-05,-1.1332756442499037e-06,9.540316849630194e-06,-9.518879012727894e-06,-9.983404680960025e-06,1.9214368694383356e-05,-1.1296471765136008e-05,1.666141382759639e-05,9.556514867088323e-06,-2.550183158475716e-06,1.6989480548978807e-05,1.0434214562594014e-05,-2.3480259371370287e-05,3.1305719937498864e-06,-1.3068098983890055e-05,-1.2558313070523614e-05,6.401707418406246e-06,7.273086846896345e-06,4.126161375543021e-06,2.154742642235667e-06,-5.721312103354352e-06,-2.1363075926004877e-06,-5.1547553170544225e-06,2.76617985296654e-06,-3.837488854881252e-06,-9.252754467624894e-06,4.815257234978417e-06,-2.057700002355118e-06,3.383897488877157e-06,-2.811606978078766e-06,5.694579328851577e-06,-5.206519794713402e-06,9.63552497230151e-06,-6.010978421065586e-06
Mz,3.2542644339040137,-0.005169337707973253,0.0008271211081330043,-0.008914719192332277,0.008662939701478845,0.013657093830262148,-0.007914018046919196,-0.018587493443218903,0.0035138110134671436,1.2677147412990762e-05,-3.7973233737467913e-06,-1.847902273033971e-05,-2.9858956535513957e-07,-1.9554667674137223e-05,-8.076863518954907e-06,1.891882352064647e-05,2.1087697748646862e-05,5.170538419543143e-06,-1.4438091996839647e-05,1.9669116563051628e-05,-1.1022608876864193e-06,-5.716756740703891e-06,-2.3541117075153717e-05,1.8201601809594164e-05,2.742355707045486e-05,-1.8855037354127995e-05,3.2141509441928566e-05,5.945628491172162e-06,2.5212775480982918e-05,-4.188473437707138e-05,-1.1031970980984552e-05,-3.22229586429568e-05,9.78525390610395e-06,-5.512036397059204e-06,2.02384791015014e-05,-1.4455084717816714e-05,-3.7526348151096197e-06,-4.935056414543289e-06,1.0175661290453544e-05,2.1923189016615592e-05,3.4444023888673026e-05,-5.358860862432266e-05,1.8817516187803414e-05,-3.147310244061127e-05,2.5606269064724956e-05
