Wrench,C,L_s0,L_s1,L_s2,L_s3,L_s4,L_s5,L_s6,L_s7
Fx,-2.3395950890677217,0.019596371219726252,0.014294808939314979,0.012080807368260206,-0.01896096865657187,0.0163184009876423,-0.029442272891352254,-0.005658665955286638,-0.005593252878152662
Fy,-0.9125785000094013,-0.014797390962210156,0.02512398035595115,0.021265451655036603,-0.005925093833555411,-0.0205003691354237,-0.012152033203984914,-0.007806402588060153,0.01633146732438738
Fz,-36.498783802798975,0.02079564660793653,0.004083213947738171,0.004303612112075739,0.031538943504257774,0.018395488950858116,0.028667000029795043,0.00017234442508499615,0.020186975387120033
Mx,-0.03964369877808203,-5.111239405643839e-05,-0.0,-0.0008688424942530039,-0.0008450196379684824,0.000859663987796201,0.0007184922830909925,0.0001718237995167904,0.0
My,-0.05539417422181017,0.001209285356721511,0.0006059544184055159,0.0,-0.0,-0.0,-0.0,-0.0004481982428873624,-0.0011521673510256716
Mz,0.2397731800117375,0.001036510154777719,-0.0009320067053930926,0.000722998453050899,-0.0007167426336173794,-0.0003508937262603345,0.0,-0.00044946104344183,0.0004051335777316463
