Wrench,C,L_s0,L_s1,L_s2,L_s3,L_s4,L_s5,L_s6,L_s7,Q_s0s0,Q_s0s1,Q_s0s2,Q_s0s3,Q_s0s4,Q_s0s5,Q_s0s6,Q_s0s7,Q_s1s1,Q_s1s2,Q_s1s3,Q_s1s4,Q_s1s5,Q_s1s6,Q_s1s7,Q_s2s2,Q_s2s3,Q_s2s4,Q_s2s5,Q_s2s6,Q_s2s7,Q_s3s3,Q_s3s4,Q_s3s5,Q_s3s6,Q_s3s7,Q_s4s4,Q_s4s5,Q_s4s6,Q_s4s7,Q_s5s5,Q_s5s6,Q_s5s7,Q_s6s6,Q_s6s7,Q_s7s7
Fx,-7.0986761146948565,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,7.493737071690423e-05,-9.967224363098843e-05,4.150927170185781e-05,1.4434353076558898e-05,7.496922051013426e-05,3.4625651032524936e-05,2.0804634793876616e-05,-0.0001432038053666901,2.094420649163719e-06,4.848101653358313e-05,2.356118423878342e-05,7.746310091461335e-05,2.0886959545872924e-06,-4.011096726382557e-05,2.856198326124224e-05,8.746006917648763e-06,9.661596884715003e-05,-0.0001323042318010336,-1.737707158085553e-05,4.199187296038464e-07,3.643906172168649e-05,-9.187289935715654e-05,-2.0148728236850035e-05,2.1023303776855167e-05,-5.5956834002319196e-05,2.1235639401376012e-05,7.873416299846762e-05,-6.021709011359979e-05,-1.711097224116586e-05,1.9455184724149245e-05,-2.97325852948259e-05,-4.900551678176113e-05,-1.117617099605536e-05,6.0632131660163015e-05,-3.3126871149569075e-05,5.316662291591139e-05
Fy,4.911288767715848,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,6.595718569602863e-05,3.60264004316818e-05,-7.742746187356171e-05,4.217925539157258e-05,-7.989462611492602e-05,-6.389533093604075e-05,-9.352444863999039e-05,8.707441949866664e-05,5.5395674942182934e-05,8.778133188832726e-06,1.6215759249000466e-05,-2.0026070981123724e-05,-4.334467766826091e-05,-5.75514287106898e-05,7.768955559138939e-05,-0.00015466976141598313,1.4790341160801057e-05,0.00011591986340350875,-1.5762854139034995e-05,8.59544330995374e-05,0.00011542438291074288,-7.533684019066977e-06,5.594818558007296e-05,-3.267041571255499e-05,-7.6166369902388715e-06,-7.866987679589627e-05,6.1941875966111e-05,-2.3452195014021982e-05,-2.251223865090058e-05,-0.0001919429999333703,4.006813553871698e-05,3.3816729390464744e-05,-8.243107603472387e-06,-2.3382885218296726e-05,5.143788296811891e-05,-1.3553554320303877e-05
Fz,-31.39490891767566,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,4.506513905179794e-05,1.2009576545542509e-05,1.8783001392358278e-05,3.06971236488204e-05,1.3389947780086869e-05,-1.7904392389172068e-05,1.1370670809152817e-06,-7.725852638474811e-05,-3.158723831859973e-05,-1.743061622367419e-05,3.4165835952014075e-05,-4.5302608720281494e-06,2.396090547209101e-05,6.530199024800239e-05,-1.9371229563426456e-05,0.00011393325034343073,-6.362228706633045e-05,-4.696614273155951e-05,-3.508275697114065e-05,1.1783498589302718e-05,1.9225883823763318e-05,2.662467288425094e-05,7.839051882660645e-05,-5.3978429672661814e-05,-6.567152708675575e-05,5.091901266326377e-05,4.433268605104842e-06,4.733424831475678e-05,1.8347761076929139e-06,2.5386831623388484e-06,0.00010660051480702338,-6.053843316637203e-05,1.0675390989341423e-05,4.7309961706028266e-05,-6.56792689633549e-05,0.00010866698428453568
Mx,-0.3510586894607995,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-2.0315716782273074e-06,1.6538526981303902e-06,-1.1356278891864774e-07,-1.214050465669769e-06,2.8342967676299286e-07,2.7596138924385045e-06,9.192006214745415e-07,-1.8735371108096103e-06,6.921115463655983e-07,1.6407550090589846e-06,-1.2095539644078962e-06,3.180426825050408e-07,2.410765312833546e-06,-1.013175276327181e-06,-1.7344756461148353e-06,1.1996526647316621e-06,-1.1053877643050711e-06,-3.3237625619399337e-06,-3.3944980371460842e-06,6.432532342099073e-07,5.2976408577661675e-08,-8.724350647787206e-07,1.5154652191101313e-06,8.934529446270902e-07,-4.514474510340053e-07,-1.825158080586937e-06,1.6708067488786157e-06,-1.8914303874567314e-06,9.927538476415267e-07,6.753788165867532e-07,-9.205871137758402e-07,3.8895210720468834e-08,2.0901884501048654e-06,1.0169530101430228e-06,-1.332745125901445e-06,4.108874270783924e-06
My,0.23040349939309776,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,6.219412836102889e-07,6.473179990184327e-07,-1.0600909267866115e-06,9.336228995234508e-07,-9.744709336328814e-08,3.8973308216686705e-06,-3.9595000196431565e-06,2.6931111693707623e-06,7.897553949231947e-07,1.9318779541281353e-06,2.135123733516199e-06,3.154467990953913e-07,3.126959406149048e-07,-7.732742097887815e-07,-9.250899195365925e-07,-5.036272930052972e-06,1.338723020238333e-06,2.8809482382279832e-06,-2.9863173208722748e-06,3.174158599866053e-06,-9.850225913687575e-07,-1.316571069431646e-06,-1.79217982632535e-07,1.1805382881458622e-06,-1.416363060373996e-06,-8.808616963573715e-07,-1.842646220538968e-07,-6.32710670365273e-07,-4.2204051827778044e-07,-4.675249433705026e-06,-9.444105252808125e-07,1.2224235238288624e-06,2.509784863289123e-09,-1.6247995366349887e-06,3.558269175364881e-06,-1.351263767492381e-06
Mz,0.5020403091158541,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.9363944557926557e-06,-4.5224686804396645e-06,2.565196807178003e-06,2.284882007192595e-06,-3.278703542596079e-06,1.2145802548101882e-06,2.2981941868923686e-07,2.4697852891133283e-06,-2.7983427359379698e-08,-7.91971387845284e-07,1.1372427742600984e-06,7.911305879064684e-07,-3.8351960074718535e-07,2.2123788469116736e-07,-8.627920932239062e-07,-2.377578075374224e-06,1.8383160821396905e-06,9.532101963871006e-06,-5.038488233836132e-06,-1.7998120740421376e-06,-0.0,-3.719014088562688e-06,-8.405853440366857e-07,1.5383006090657729e-06,-1.3916288033837467e-06,1.0066479485137696e-06,-2.312258491505514e-06,7.845912079078362e-07,-1.5581971677858665e-06,-4.537057699473785e-06,2.3517337179847322e-06,1.0675444645888114e-06,-1.2528394453986844e-06,-2.3255921479374196e-06,5.668332579332045e-06,-1.105035476766331e-06
