Wrench,C,L_s0,L_s1,L_s2,L_s3,L_s4,L_s5,L_s6,L_s7,Q_s0s0,Q_s0s1,Q_s0s2,Q_s0s3,Q_s0s4,Q_s0s5,Q_s0s6,Q_s0s7,Q_s1s1,Q_s1s2,Q_s1s3,Q_s1s4,Q_s1s5,Q_s1s6,Q_s1s7,Q_s2s2,Q_s2s3,Q_s2s4,Q_s2s5,Q_s2s6,Q_s2s7,Q_s3s3,Q_s3s4,Q_s3s5,Q_s3s6,Q_s3s7,Q_s4s4,Q_s4s5,Q_s4s6,Q_s4s7,Q_s5s5,Q_s5s6,Q_s5s7,Q_s6s6,Q_s6s7,Q_s7s7
Fx,-7.832049982360113,-0.2610973472706468,0.15302539829788575,0.3572265545140873,-0.30072206255776024,-0.6209158559242549,0.32993887065312133,0.25536064011149673,0.14372688297204778,0.0003814322764300111,-5.9010149260399246e-05,0.00011338121199719083,-0.00019910956275556946,-0.0011481948940589317,0.00022308053826662895,0.0008801289710699539,0.00013807265002526226,-0.0003684635781791054,0.00012708834948305122,0.0002763074906798537,0.002400260100567867,-0.0012434450131377373,-0.0008179514167044561,-0.00016140830511142965,-0.0006267126543716351,0.0007943398673183697,0.0003828153297622642,-0.0002452252752889892,-0.0008755303699685955,7.994169089578997e-05,-0.0002301174849253316,-0.00037448593195115067,0.00039964463970461214,0.0002725396604368747,5.690654444990423e-06,-0.0011695346882446478,0.00192561846155119,0.0004267713328772148,0.0004854234062854623,-0.000509875541802519,-0.0003521416572405296,-0.0008640188617126572,8.13125909591983e-06,-0.0004648058448550596,0.0002951096605249143
Fy,33.45890556611244,-0.36065498144726804,-0.0015903177221632482,0.2990642828220843,-0.02627044631912152,-0.032138073504382754,0.22327352639536732,0.03104712624947904,-0.3211391418434083,-0.0001882661860295307,0.0003718363969630777,0.00031020982045917676,-4.927829833580778e-05,0.0004292929806452558,-3.7428092938062023e-06,0.00023740844594169588,-0.00010068171590180764,-9.80615408326098e-05,4.1315995922205265e-06,-9.794207310377994e-05,-0.00045708512272400514,0.00022596115802528136,0.0002396770006434006,7.80001478298411e-05,-0.0003915822575120671,3.5531128337101934e-05,-0.0002132084469968365,-0.0002920428035102373,-0.0004781212490064879,0.0006915579941729853,0.0002061891639718116,0.0004321731415056342,-0.0002694019983166452,6.523754092592726e-06,-0.00040667983111454097,0.00012986540536842592,3.008920140075434e-05,0.00036888815430881794,-0.0008408075777046894,-0.00038835437497356857,-0.0006023906064778289,0.0010348183648279793,-0.00035273306978179616,0.0008950555729345058,-0.000259057362189725
Fz,-115.53239083240913,-0.38646269816028117,0.2929781482204481,0.49068883006745895,-0.18803386664237853,-0.47206566693474394,0.48538778903027713,0.1695835071855967,0.1693293542958572,4.992661518717681e-05,-0.00024748074999669724,0.0006201722117510946,0.0003434338148553714,-0.00048240872273912254,0.0007447257625746573,0.00046669127538426745,-0.0002831068398802764,0.0002104369925115928,-0.00041349685069896886,-0.0006766755318337702,0.0011161970520094896,-0.0012059497052544865,-0.0005254079171918354,0.0006026814087691691,-0.00044598917306588176,0.0006059694799749529,0.0001774133484702937,-0.00043513341612109714,-0.0005118417218518234,-0.00047258610689447633,0.00010267743084025005,0.0002824371182696974,-0.00016957909716156818,0.0003983264659628581,-0.0004242160734394089,-0.0007202727034378159,0.00168105343980029,0.0002933096307387792,-8.640207196302513e-05,-0.0009872967865241682,-6.356066498447097e-05,-0.00022280466344939964,3.377345655780628e-06,-0.0005709054317586532,0.0006211334514233807
Mx,0.23687190890153578,0.007260804813298019,0.00239000353536931,-0.012936435402871413,0.004195474543680334,-0.0014987428518172538,-0.010606211652284698,-0.006675498306217633,0.018348610533432067,2.218257633994564e-06,-4.77342427833297e-06,-1.1521161898580038e-05,2.1725608607264117e-06,-1.595332585464127e-05,4.460975509489193e-06,-2.8921809400732822e-06,6.502710952492139e-06,-1.6498269520286037e-06,1.1004183652242153e-05,-2.9130409234979794e-06,3.13686296282612e-05,-1.0317452764563015e-05,-1.0389171324482806e-05,-1.5006290795459195e-05,8.958358080076978e-06,-1.997681401511845e-06,3.3467668867122194e-06,1.0600264676237648e-05,1.5605272128933178e-05,-1.888938133805753e-05,-7.161819760107083e-06,-1.4398459927971395e-05,7.2428676213005585e-06,3.1298270402384143e-06,2.1326490383016317e-06,-1.3826126957926701e-05,9.829468500262148e-06,-8.315265010636216e-06,2.684414326013969e-05,7.450568416634031e-06,2.5643512985689136e-05,-3.727798542663916e-05,1.2771928067257447e-05,-3.15340382297315e-05,1.3174532812207894e-05
My,0.8497447771913218,-0.0008500694303059635,-0.002519792575731361,-0.0019185579893163977,0.0039065941951557685,0.006108244006248074,-0.00302147139950822,-0.0025639383242080185,-0.0017128073275143188,1.3955216532739416e-06,1.0593890859682259e-05,-1.6833988138125408e-05,-1.1316077062563722e-06,9.545195555447169e-06,-9.525835244461791e-06,-9.989803692929335e-06,1.921869470546225e-05,-1.1295970806524177e-05,1.666657610367978e-05,9.55505408916927e-06,-2.5552763181644512e-06,1.699724329843335e-05,1.0450252315647696e-05,-2.34869845162477e-05,3.135093456225153e-06,-1.3069812563730263e-05,-1.2567227586902396e-05,6.414162917424282e-06,7.279830329438429e-06,4.119110781007609e-06,2.1526118018597163e-06,-5.720158459233958e-06,-2.139776498951315e-06,-5.156206106972594e-06,2.7691407518334334e-06,-3.838710901471384e-06,-9.257856367802771e-06,4.810519147771216e-06,-2.054804300818903e-06,3.3912247833851447e-06,-2.802441212220938e-06,5.688064794653533e-06,-5.203920530114114e-06,9.634147480163616e-06,-6.00973415687176e-06
Mz,3.2626463517614623,-0.005158008066051885,0.0008079618919883564,-0.008928476236775366,0.008669662653086191,0.013676880185657247,-0.007941586039366736,-0.01861683471309617,0.0035264490067870883,1.268466598208487e-05,-3.809917280884774e-06,-1.850024852578278e-05,-2.9273407057673446e-07,-1.953650180088982e-05,-8.102292808817599e-06,1.889685988772564e-05,2.1104431030563082e-05,5.171597039940242e-06,-1.4419574554616124e-05,1.9663998719447642e-05,-1.1195300249076823e-06,-5.6900091385818876e-06,-2.3488695409991435e-05,1.8176393659271308e-05,2.7440281077374417e-05,-1.8860780116806937e-05,3.211005142670744e-05,5.9901238090784665e-06,2.5237035128053768e-05,-4.191089703830401e-05,-1.1039629952382622e-05,-3.22192211770691e-05,9.774091173895619e-06,-5.5162801424220886e-06,2.0248541281445948e-05,-1.4458337917782714e-05,-3.7709811921689496e-06,-4.952451951172859e-06,1.0188275303453555e-05,2.1949095416697576e-05,3.4477007647456604e-05,-5.36138487371607e-05,1.882706407570152e-05,-3.148011507920993e-05,2.5611231966821195e-05
