Wrench,C,L_s0,L_s1,L_s2,L_s3,L_s4,L_s5,L_s6,L_s7
Fx,-2.244625865950987,0.02004178903500552,0.013935693840226016,0.012032872224050997,-0.019047661613712186,0.017268738557140968,-0.030509832172853187,-0.006001600430720368,-0.0053388498902002856
Fy,-1.0913827686106505,-0.016051636179855226,0.026551362836076682,0.021973598730245025,-0.006869869887210659,-0.021331411974084915,-0.011694417908248834,-0.007641348591219155,0.016833240988566874
Fz,-36.80088244093481,0.02068782016856828,0.0043266597140916505,0.004614867139937794,0.03150438843798251,0.018263633455843434,0.029065510973170224,0.0003935597610249357,0.020202107932064978
Mx,-0.14289821603776914,-0.0004049380022466626,0.00035956348626379857,-0.0006766746758567282,-0.0011339202688325153,0.0005684971396614901,0.0010513791374785176,0.0004113639027028787,4.057818656479065e-06
My,-0.08095845109287708,0.001072873130845196,0.0008232025227341907,0.00016092114475183794,-0.0002339602764532409,-0.00022028036237820383,0.00011081748568600165,-0.00032860743192801356,-0.0011805843403531096
Mz,0.15730385306046973,0.0011068309944864923,-0.0008703325773281686,0.000913875859530067,-0.0009630285712395158,-0.0007853663938568827,0.00037633246932567565,-0.0003525964255487745,0.0005723343392906725
