Wrench,C,L_s0,L_s1,L_s2,L_s3,L_s4,L_s5,L_s6,L_s7
Fx,-2.2446259178315775,0.020041788747600504,0.013935694008778657,0.01203287237504677,-0.01904766160132796,0.017268738214686122,-0.03050983169063354,-0.006001600298144856,-0.00533885007904209
Fy,-1.091382682627041,-0.01605163576638767,0.026551362403561304,0.021973598467337135,-0.006869869631854937,-0.02133141163908214,-0.011694418194523729,-0.007641348727429811,0.01683324094606476
Fz,-36.80088243259315,0.02068782000756817,0.004326659842707012,0.004614867267213333,0.03150438825490322,0.018263633323212434,0.029065511004657894,0.0003935598957515935,0.020202107867560617
Mx,-0.1428982133237402,-0.0004049379916956087,0.0003595634765340412,-0.0006766746829925998,-0.0011339202624981513,0.0005684971497660915,0.0010513791256604205,0.0004113638961237715,4.057821849622695e-06
My,-0.08095845021707518,0.001072873131931815,0.0008232025220139253,0.0001609211422137399,-0.0002339602753391741,-0.00022028035876391574,0.00011081748118904113,-0.00032860743572552675,-0.0011805843361710052
Mz,0.1573038538315804,0.0011068309904147648,-0.0008703325754584624,0.0009138758578255176,-0.0009630285677808077,-0.00078536639082676,0.0003763324685714276,-0.00035259642843848754,0.0005723343381445236
